,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2014-04-04,0.87,0.85,0.76,0.7,0.64,0.59,0.83,0.8,0.64,0.59
2014-04-07,0.64,0.53,0.65,0.49,0.46,0.37,0.56,0.54,0.45,0.37
2014-04-08,0.77,0.64,0.59,0.6,0.73,0.77,1.16,0.79,0.61,0.78
2014-04-09,0.66,0.73,0.62,0.54,0.51,0.57,0.63,0.9,0.6,0.57
2014-04-10,0.95,0.76,0.71,0.62,0.62,0.56,0.9,0.86,0.62,0.56
2014-04-11,0.67,0.73,0.49,0.51,0.62,0.47,0.7,0.89,0.56,0.47
2014-04-14,0.69,0.61,0.53,0.48,0.46,0.44,0.62,0.75,0.62,0.44
2014-04-15,0.91,0.57,0.52,0.47,0.64,0.47,0.67,0.79,0.54,0.47
2014-04-16,0.74,0.75,0.66,0.57,0.8,0.5,0.77,0.92,0.58,0.5
2014-04-17,0.68,0.55,0.63,0.49,0.46,0.49,0.55,0.86,0.47,0.49
2014-04-18,0.23,0.3,0.19,0.18,0.25,0.19,0.26,0.31,0.21,0.18
2014-04-21,0.38,0.38,0.39,0.34,0.31,0.28,0.34,0.54,0.38,0.28
2014-04-22,0.59,0.45,0.39,0.37,0.4,0.36,0.43,0.64,0.62,0.37
2014-04-23,1.24,0.54,0.71,0.6,0.61,0.47,0.73,0.75,0.52,0.47
2014-04-24,0.59,0.49,0.55,0.48,0.44,0.43,0.64,1.02,0.48,0.43
2014-04-25,0.44,0.39,0.3,0.3,0.33,0.3,0.51,0.43,0.38,0.31
2014-04-28,0.76,0.48,0.67,0.55,0.57,0.45,0.69,0.79,0.44,0.45
2014-04-29,0.64,0.88,0.79,0.69,0.52,0.44,0.57,0.6,0.48,0.44
2014-04-30,0.7,0.65,0.66,0.7,0.58,0.53,0.66,0.87,0.53,0.53
2014-05-01,0.55,0.46,0.36,0.31,0.37,0.28,0.33,0.48,0.31,0.28
2014-05-02,0.69,0.64,0.61,0.47,0.5,0.6,0.71,0.77,0.53,0.6
2014-05-05,0.46,0.45,0.31,0.29,0.33,0.27,0.49,0.49,0.35,0.27
2014-05-06,0.75,0.69,0.58,0.55,0.55,0.68,0.57,0.83,0.56,0.68
2014-05-07,0.41,0.4,0.38,0.38,0.34,0.36,0.57,0.99,0.34,0.36
2014-05-08,0.89,1.03,1.1,1.09,0.68,0.63,0.74,0.82,0.68,0.64
2014-05-09,0.59,0.92,0.68,0.63,0.62,0.5,0.53,0.65,0.5,0.5
2014-05-12,0.37,0.34,0.32,0.28,0.39,0.27,0.42,0.37,0.35,0.27
2014-05-13,0.58,0.52,0.54,0.64,0.5,0.4,0.44,0.65,0.43,0.4
2014-05-14,0.61,0.64,0.47,0.45,0.85,0.45,0.64,0.72,0.48,0.45
2014-05-15,0.79,0.67,0.83,0.65,0.64,0.55,0.86,0.87,0.57,0.55
2014-05-16,0.42,0.41,0.42,0.4,0.4,0.3,0.41,0.45,0.41,0.3
2014-05-19,0.58,0.35,0.33,0.36,0.35,0.3,0.56,0.43,0.33,0.3
2014-05-20,0.95,0.57,0.51,0.46,0.61,0.44,0.65,0.81,0.47,0.44
2014-05-21,0.55,0.49,0.63,0.55,0.68,0.51,0.73,0.56,0.53,0.51
2014-05-22,0.66,0.57,0.42,0.4,0.44,0.36,0.54,0.49,0.38,0.36
2014-05-23,0.44,0.53,0.36,0.32,0.41,0.33,0.43,0.46,0.33,0.33
2014-05-26,0.22,0.22,0.26,0.26,0.22,0.2,0.22,0.31,0.22,0.2
2014-05-27,0.46,0.37,0.41,0.36,0.48,0.42,0.4,0.48,0.45,0.41
2014-05-28,0.6,0.52,0.46,0.45,0.68,0.46,0.66,1.06,0.49,0.46
2014-05-29,1.08,0.6,0.45,0.43,0.45,0.42,0.55,0.77,0.42,0.43
2014-05-30,0.49,0.52,0.58,0.46,0.46,0.37,0.47,0.55,0.41,0.37
