,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2012-01-02,0.57,0.48,0.58,0.48,0.57,0.41,0.58,0.82,0.46,0.4
2012-01-03,0.91,0.84,0.76,0.68,0.81,1.03,0.91,0.99,0.72,1.02
2012-01-04,0.78,0.67,1.17,1.06,0.64,0.7,0.72,0.66,0.69,0.7
2012-01-05,0.93,0.81,0.87,0.86,0.76,0.99,0.82,0.75,0.85,0.97
2012-01-06,0.72,1.05,0.73,0.75,0.81,0.69,0.84,0.83,0.68,0.69
2012-01-09,0.83,0.78,0.87,0.78,0.63,0.73,0.73,1.02,0.67,0.74
2012-01-10,0.9,0.72,0.68,0.65,0.61,0.63,0.6,0.98,0.62,0.62
2012-01-11,0.7,0.72,0.76,0.81,1.09,0.66,0.65,0.84,0.66,0.66
2012-01-12,0.86,0.79,1.28,1.05,0.72,0.74,0.76,1.06,0.74,0.74
2012-01-13,0.98,0.91,1.26,1.49,0.9,1.09,0.89,1.12,0.85,1.1
2012-01-16,0.64,0.75,0.51,0.44,0.47,0.52,0.51,0.59,0.43,0.52
2012-01-17,0.93,0.69,0.87,0.8,0.69,0.86,0.87,0.85,0.67,0.88
2012-01-18,0.76,0.73,0.94,0.85,0.75,0.7,0.83,0.95,0.67,0.72
2012-01-19,0.77,0.79,0.9,0.89,0.64,0.62,1.13,0.79,0.67,0.64
2012-01-20,0.85,0.66,0.72,0.74,0.75,0.62,0.71,0.75,0.59,0.63
2012-01-23,0.82,0.82,1.01,0.97,0.84,0.84,0.95,0.89,0.72,0.85
2012-01-24,0.85,0.67,0.79,0.77,0.9,0.72,1.19,0.82,0.66,0.73
2012-01-25,1.26,0.81,0.91,0.93,0.92,1.13,0.99,1.22,0.85,1.16
2012-01-26,0.68,0.55,0.62,0.59,0.57,0.65,0.64,0.73,0.58,0.68
2012-01-27,0.76,0.75,1.0,0.93,0.78,0.75,1.06,0.77,0.71,0.78
2012-01-30,0.9,0.65,0.7,0.8,0.63,0.76,1.18,0.76,0.67,0.79
2012-01-31,0.84,0.82,0.95,1.06,0.86,0.84,0.91,1.27,0.76,0.84
2012-02-01,1.01,0.77,0.9,0.87,0.88,1.05,1.15,1.09,0.8,1.07
2012-02-02,0.58,0.49,0.69,0.68,0.57,0.52,0.55,0.66,0.65,0.53
2012-02-03,1.04,1.08,1.09,1.01,0.86,0.84,1.12,1.0,0.85,0.85
2012-02-06,0.61,0.6,0.69,0.67,0.6,0.66,0.65,0.65,0.75,0.67
2012-02-07,1.12,0.69,1.01,1.15,0.8,0.77,1.0,0.79,0.75,0.77
2012-02-08,0.68,0.57,0.61,0.59,0.82,0.59,0.85,0.84,0.64,0.58
2012-02-09,0.65,0.6,0.63,0.69,0.72,0.63,1.11,0.63,0.67,0.62
2012-02-10,1.0,0.72,0.82,0.76,0.87,0.87,0.94,0.82,0.89,0.89
2012-02-13,0.74,0.55,0.68,0.7,0.54,0.6,0.77,0.98,0.61,0.61
2012-02-14,0.78,0.79,0.77,0.8,0.75,0.88,1.46,0.93,0.99,0.88
2012-02-15,0.81,0.67,0.89,0.94,0.77,0.76,0.95,0.96,0.71,0.76
2012-02-16,0.9,0.77,0.88,0.91,0.84,0.97,1.46,0.98,0.78,0.98
2012-02-17,0.99,0.6,0.62,0.69,0.67,0.6,1.13,0.86,0.7,0.6
2012-02-20,0.73,0.55,0.91,0.74,0.53,0.54,0.94,0.64,0.62,0.54
2012-02-21,0.8,0.53,0.66,0.73,0.61,0.61,0.75,0.73,0.59,0.61
2012-02-22,0.72,0.62,0.7,0.63,0.93,0.65,0.95,0.88,0.6,0.65
2012-02-23,0.81,0.68,0.78,0.75,0.59,0.8,0.77,0.85,0.63,0.79
2012-02-24,0.89,0.76,1.1,1.05,1.24,0.77,1.81,0.9,0.89,0.77
2012-02-27,1.26,0.94,1.07,1.06,1.01,0.89,2.27,1.17,0.98,0.89
2012-02-28,0.62,0.62,0.63,0.63,0.66,0.58,1.18,0.97,0.59,0.58
2012-02-29,1.06,1.39,1.13,1.12,1.0,1.03,1.23,1.35,0.94,1.04
