,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2005-01-03,1.12,1.1,1.25,1.03,0.94,0.86,1.0,0.81,0.76,1.08
2005-01-04,1.2,1.11,1.26,0.99,0.98,1.32,1.31,0.9,0.98,1.7
2005-01-05,0.83,0.9,0.75,0.69,0.77,0.65,0.99,0.84,0.59,0.88
2005-01-06,0.77,1.07,0.73,0.71,0.71,0.65,0.89,0.73,0.65,0.9
2005-01-07,1.22,1.31,1.33,1.28,0.99,0.96,1.14,1.0,0.84,1.29
2005-01-10,0.66,1.15,0.62,0.58,0.62,0.53,0.72,0.66,0.49,0.61
2005-01-11,0.82,0.82,0.97,0.74,0.74,0.57,1.13,0.69,0.62,0.75
2005-01-12,1.42,1.56,1.19,1.04,1.1,1.15,1.22,0.98,0.94,1.48
2005-01-13,0.77,0.72,0.71,0.66,0.78,0.4,0.71,0.63,0.78,0.58
2005-01-14,0.95,1.35,0.94,0.9,0.88,0.85,1.59,0.7,0.74,1.12
2005-01-17,0.64,0.64,0.58,0.53,0.85,0.4,0.62,0.54,0.51,0.54
2005-01-18,0.98,0.9,0.86,0.75,1.12,0.59,0.97,0.81,0.6,0.77
2005-01-19,1.27,1.24,1.01,0.98,1.02,0.8,1.23,1.02,0.88,1.04
2005-01-20,0.77,0.83,0.79,0.74,0.79,0.52,1.03,0.86,0.6,0.7
2005-01-21,1.42,1.14,1.0,0.87,1.12,0.87,1.11,0.97,0.72,1.1
2005-01-24,0.62,1.0,0.68,0.57,0.57,0.42,0.67,0.54,0.44,0.5
2005-01-25,0.96,1.35,1.07,0.91,0.86,0.9,1.38,0.9,0.74,1.1
2005-01-26,1.02,1.03,0.85,0.77,0.83,0.8,0.93,0.76,0.61,1.02
2005-01-27,0.7,0.88,0.72,0.75,0.69,0.53,0.86,0.56,0.55,0.66
2005-01-28,0.85,0.76,0.7,0.7,0.68,0.63,1.01,0.68,0.58,0.85
2005-01-31,0.56,0.67,0.6,0.58,0.58,0.4,0.54,0.55,0.43,0.53
2005-02-01,0.82,0.74,0.66,0.53,0.54,0.43,0.54,0.54,0.4,0.53
2005-02-02,0.89,0.91,0.78,0.68,0.56,0.48,0.71,0.56,0.49,0.59
2005-02-03,1.01,0.7,0.75,0.62,0.75,0.65,0.82,0.55,0.61,0.81
2005-02-04,0.98,1.16,1.1,1.07,0.91,0.78,1.17,0.77,0.82,0.95
