date,JPY
2022-04-10T21:00:00,0.0
2022-04-11T21:00:00,-0.01
2022-04-12T21:00:00,-0.34
2022-04-13T21:00:00,0.02
2022-04-14T21:00:00,-0.29
2022-04-17T21:00:00,-0.18
2022-04-18T21:00:00,-1.25
2022-04-19T21:00:00,0.23
2022-04-20T21:00:00,0.1
2022-04-21T21:00:00,0.55
2022-04-24T21:00:00,0.71
2022-04-25T21:00:00,1.14
2022-04-26T21:00:00,-0.64
2022-04-27T21:00:00,-1.38
2022-04-28T21:00:00,0.76
2022-05-01T21:00:00,0.05
2022-05-02T21:00:00,-0.1
2022-05-03T21:00:00,0.08
2022-05-04T21:00:00,0.02
2022-05-05T21:00:00,-0.02
2022-05-08T21:00:00,0.69
2022-05-09T21:00:00,0.04
2022-05-10T21:00:00,0.33
2022-05-11T21:00:00,1.66
2022-05-12T21:00:00,-1.06
2022-05-15T21:00:00,-0.14
2022-05-16T21:00:00,-0.75
2022-05-17T21:00:00,1.28
2022-05-18T21:00:00,-0.53
2022-05-19T21:00:00,-0.14
