date,return
2021-08-15T21:00:00,-0.22
2021-08-16T21:00:00,-1.2
2021-08-17T21:00:00,-1.79
2021-08-18T21:00:00,-2.34
2021-08-19T21:00:00,-2.57
2021-08-22T21:00:00,-2.04
2021-08-23T21:00:00,-1.26
2021-08-24T21:00:00,-1.07
2021-08-25T21:00:00,-1.27
2021-08-26T21:00:00,-1.06
2021-08-29T21:00:00,-1.1
2021-08-30T21:00:00,-0.45
2021-08-31T21:00:00,-0.16
2021-09-01T21:00:00,0.22
2021-09-02T21:00:00,0.72
2021-09-05T21:00:00,0.49
2021-09-06T21:00:00,0.26
2021-09-07T21:00:00,0.34
2021-09-08T21:00:00,0.23
2021-09-09T21:00:00,0.12
2021-09-12T21:00:00,0.14
2021-09-13T21:00:00,-0.05
2021-09-14T21:00:00,-0.14
2021-09-15T21:00:00,-0.28
2021-09-16T21:00:00,-0.47
2021-09-19T21:00:00,-0.27
2021-09-20T21:00:00,-0.57
2021-09-21T21:00:00,-0.51
2021-09-22T21:00:00,0.07
2021-09-23T21:00:00,-0.37
2021-09-26T21:00:00,-0.3
2021-09-27T21:00:00,-0.77
2021-09-28T21:00:00,-1.85
2021-09-29T21:00:00,-1.63
2021-09-30T21:00:00,-1.14
2021-10-03T21:00:00,-0.66
2021-10-04T21:00:00,-0.77
2021-10-05T21:00:00,-1.35
2021-10-06T21:00:00,-1.19
2021-10-07T21:00:00,-1.47
2021-10-10T21:00:00,-1.19
2021-10-11T21:00:00,-1.15
2021-10-12T21:00:00,-1.0
2021-10-13T21:00:00,-0.23
2021-10-14T21:00:00,0.31
2021-10-17T21:00:00,0.56
2021-10-18T21:00:00,1.21
2021-10-19T21:00:00,1.77
2021-10-20T21:00:00,1.39
2021-10-21T21:00:00,1.49
2021-10-24T21:00:00,1.62
2021-10-25T21:00:00,1.64
2021-10-26T21:00:00,1.78
2021-10-27T21:00:00,1.88
2021-10-28T21:00:00,1.81
2021-10-31T21:00:00,2.08
2021-11-01T21:00:00,1.07
2021-11-02T21:00:00,1.59
2021-11-03T21:00:00,1.05
2021-11-04T21:00:00,1.18
2021-11-07T22:00:00,1.74
2021-11-08T22:00:00,1.22
2021-11-09T22:00:00,0.69
2021-11-10T22:00:00,0.27
2021-11-11T22:00:00,0.41
2021-11-14T22:00:00,0.62
2021-11-15T22:00:00,0.12
2021-11-16T22:00:00,0.17
2021-11-17T22:00:00,0.91
2021-11-18T22:00:00,0.63
2021-11-21T22:00:00,0.3
2021-11-22T22:00:00,0.24
2021-11-23T22:00:00,-0.65
2021-11-24T22:00:00,-0.94
2021-11-25T22:00:00,-1.24
2021-11-28T22:00:00,-1.62
2021-11-29T22:00:00,-1.97
2021-11-30T22:00:00,-2.09
2021-12-01T22:00:00,-1.65
2021-12-02T22:00:00,-2.31
2021-12-05T22:00:00,-2.48
2021-12-06T22:00:00,-2.26
2021-12-07T22:00:00,-2.37
2021-12-08T22:00:00,-2.41
2021-12-09T22:00:00,-2.44
2021-12-12T22:00:00,-2.81
2021-12-13T22:00:00,-2.86
2021-12-14T22:00:00,-2.53
2021-12-15T22:00:00,-2.44
2021-12-16T22:00:00,-3.02
2021-12-19T22:00:00,-3.51
2021-12-20T22:00:00,-2.87
2021-12-21T22:00:00,-2.38
2021-12-22T22:00:00,-2.41
2021-12-23T22:00:00,-2.36
2021-12-26T22:00:00,-2.68
2021-12-27T22:00:00,-3.01
2021-12-28T22:00:00,-2.75
2021-12-29T22:00:00,-2.74
2021-12-30T22:00:00,-2.83
2022-01-02T22:00:00,-3.21
2022-01-03T22:00:00,-2.7
2022-01-04T22:00:00,-2.63
2022-01-05T22:00:00,-3.12
2022-01-06T22:00:00,-3.11
2022-01-09T22:00:00,-3.24
2022-01-10T22:00:00,-3.36
2022-01-11T22:00:00,-2.81
2022-01-12T22:00:00,-2.59
2022-01-13T22:00:00,-3.3
2022-01-16T22:00:00,-3.46
2022-01-17T22:00:00,-3.6
2022-01-18T22:00:00,-3.61
2022-01-19T22:00:00,-4.01
2022-01-20T22:00:00,-4.74
2022-01-23T22:00:00,-4.93
2022-01-24T22:00:00,-5.29
2022-01-25T22:00:00,-5.58
2022-01-26T22:00:00,-6.22
2022-01-27T22:00:00,-6.53
2022-01-30T22:00:00,-6.49
2022-01-31T22:00:00,-5.79
2022-02-01T22:00:00,-5.98
2022-02-02T22:00:00,-5.78
2022-02-03T22:00:00,-6.36
2022-02-06T22:00:00,-6.18
2022-02-07T22:00:00,-5.83
2022-02-08T22:00:00,-5.57
2022-02-09T22:00:00,-5.4
2022-02-10T22:00:00,-5.74
2022-02-13T22:00:00,-6.12
2022-02-14T22:00:00,-5.93
2022-02-15T22:00:00,-5.47
2022-02-16T22:00:00,-5.3
2022-02-17T22:00:00,-4.98
2022-02-20T22:00:00,-4.9
2022-02-21T22:00:00,-4.47
2022-02-22T22:00:00,-3.8
2022-02-23T22:00:00,-4.24
2022-02-24T22:00:00,-3.58
2022-02-27T22:00:00,-2.56
2022-02-28T22:00:00,-2.57
2022-03-01T22:00:00,-2.31
2022-03-02T22:00:00,-1.94
2022-03-03T22:00:00,-0.71
2022-03-06T22:00:00,-1.0
2022-03-07T22:00:00,-1.02
2022-03-08T22:00:00,-1.08
2022-03-09T22:00:00,-0.69
2022-03-10T22:00:00,-1.29
2022-03-13T21:00:00,-1.86
2022-03-14T21:00:00,-1.65
2022-03-15T21:00:00,-1.18
2022-03-16T21:00:00,-0.91
2022-03-17T21:00:00,-0.44
2022-03-20T21:00:00,-0.55
2022-03-21T21:00:00,0.57
2022-03-22T21:00:00,0.83
2022-03-23T21:00:00,0.69
2022-03-24T21:00:00,0.72
2022-03-27T21:00:00,0.13
2022-03-28T21:00:00,0.37
2022-03-29T21:00:00,0.77
2022-03-30T21:00:00,0.38
2022-03-31T21:00:00,0.38
2022-04-03T21:00:00,0.74
2022-04-04T21:00:00,0.89
2022-04-05T21:00:00,0.48
2022-04-06T21:00:00,0.18
2022-04-07T21:00:00,-0.33
2022-04-10T21:00:00,-0.48
2022-04-11T21:00:00,-0.16
2022-04-12T21:00:00,-1.05
2022-04-13T21:00:00,-1.66
2022-04-14T21:00:00,-1.97
2022-04-17T21:00:00,-2.33
2022-04-18T21:00:00,-1.8
2022-04-19T21:00:00,-1.06
2022-04-20T21:00:00,-2.09
2022-04-21T21:00:00,-3.03
2022-04-24T21:00:00,-2.78
2022-04-25T21:00:00,-3.24
2022-04-26T21:00:00,-3.4
2022-04-27T21:00:00,-3.85
2022-04-28T21:00:00,-4.59
2022-05-01T21:00:00,-4.79
2022-05-02T21:00:00,-4.85
2022-05-03T21:00:00,-5.71
2022-05-04T21:00:00,-5.03
2022-05-05T21:00:00,-5.22
2022-05-08T21:00:00,-6.05
2022-05-09T21:00:00,-6.52
2022-05-10T21:00:00,-6.55
2022-05-11T21:00:00,-6.99
2022-05-12T21:00:00,-6.3
2022-05-15T21:00:00,-6.03
2022-05-16T21:00:00,-5.73
2022-05-17T21:00:00,-6.27
2022-05-18T21:00:00,-5.67
2022-05-19T21:00:00,-5.5
