date,HKD
2014-08-22T21:00:00,0.63
2014-08-29T21:00:00,1.74
2014-09-05T21:00:00,2.47
2014-09-12T21:00:00,1.83
2014-09-19T21:00:00,2.44
2014-09-26T21:00:00,2.45
2014-10-03T21:00:00,1.11
2014-10-10T21:00:00,1.23
2014-10-17T21:00:00,1.52
2014-10-24T21:00:00,2.73
2014-10-31T21:00:00,2.07
2014-11-07T22:00:00,1.4
2014-11-14T22:00:00,2.04
2014-11-21T22:00:00,1.65
2014-11-28T22:00:00,2.78
2014-12-05T22:00:00,1.19
2014-12-12T22:00:00,2.49
2014-12-19T22:00:00,0.98
2014-12-26T22:00:00,2.2
2015-01-02T22:00:00,1.48
2015-01-09T22:00:00,2.41
2015-01-16T22:00:00,4.73
2015-01-23T22:00:00,3.4
2015-01-30T22:00:00,1.72
2015-02-06T22:00:00,1.06
2015-02-13T22:00:00,1.24
2015-02-20T22:00:00,1.77
2015-02-27T22:00:00,3.53
2015-03-06T22:00:00,3.06
2015-03-13T21:00:00,1.2
2015-03-20T21:00:00,1.55
2015-03-27T21:00:00,1.62
2015-04-03T21:00:00,3.25
2015-04-10T21:00:00,1.08
2015-04-17T21:00:00,1.49
2015-04-24T21:00:00,1.79
2015-05-01T21:00:00,1.48
2015-05-08T21:00:00,1.26
2015-05-15T21:00:00,3.88
2015-05-22T21:00:00,2.8
2015-05-29T21:00:00,2.05
2015-06-05T21:00:00,1.13
2015-06-12T21:00:00,1.23
2015-06-19T21:00:00,2.43
2015-06-26T21:00:00,2.35
2015-07-03T21:00:00,1.51
2015-07-10T21:00:00,3.11
2015-07-17T21:00:00,1.36
2015-07-24T21:00:00,1.37
2015-07-31T21:00:00,1.63
2015-08-07T21:00:00,1.78
2015-08-14T21:00:00,0.9
2015-08-21T21:00:00,4.49
2015-08-28T21:00:00,2.74
2015-09-04T21:00:00,1.06
2015-09-11T21:00:00,1.3
2015-09-18T21:00:00,2.79
2015-09-25T21:00:00,1.04
2015-10-02T21:00:00,0.53
2015-10-09T21:00:00,1.37
2015-10-16T21:00:00,3.06
2015-10-23T21:00:00,1.49
2015-10-30T21:00:00,3.96
2015-11-06T22:00:00,0.67
2015-11-13T22:00:00,1.35
2015-11-20T22:00:00,1.43
2015-11-27T22:00:00,0.92
2015-12-04T22:00:00,1.99
2015-12-11T22:00:00,2.39
2015-12-18T22:00:00,0.36
2015-12-25T22:00:00,1.26
2016-01-01T22:00:00,3.27
2016-01-08T22:00:00,2.27
2016-01-15T22:00:00,1.61
2016-01-22T22:00:00,1.93
2016-01-29T22:00:00,1.4
2016-02-05T22:00:00,1.47
2016-02-12T22:00:00,1.82
2016-02-19T22:00:00,2.29
2016-02-26T22:00:00,0.71
2016-03-04T22:00:00,1.41
2016-03-11T22:00:00,1.64
2016-03-18T21:00:00,2.48
2016-03-25T21:00:00,0.77
2016-04-01T21:00:00,1.5
2016-04-08T21:00:00,1.53
2016-04-15T21:00:00,2.18
2016-04-22T21:00:00,0.78
2016-04-29T21:00:00,3.61
2016-05-06T21:00:00,1.86
2016-05-13T21:00:00,1.99
2016-05-20T21:00:00,1.32
2016-05-27T21:00:00,0.64
2016-06-03T21:00:00,1.8
2016-06-10T21:00:00,1.25
2016-06-17T21:00:00,5.17
2016-06-24T21:00:00,1.44
2016-07-01T21:00:00,1.84
2016-07-08T21:00:00,2.63
2016-07-15T21:00:00,2.25
2016-07-22T21:00:00,0.76
2016-07-29T21:00:00,2.07
2016-08-05T21:00:00,1.09
2016-08-12T21:00:00,0.95
2016-08-19T21:00:00,1.91
2016-08-26T21:00:00,1.35
2016-09-02T21:00:00,1.4
2016-09-09T21:00:00,1.91
2016-09-16T21:00:00,0.99
2016-09-23T21:00:00,0.99
2016-09-30T21:00:00,3.45
2016-10-07T21:00:00,2.24
2016-10-14T21:00:00,1.5
2016-10-21T21:00:00,1.12
2016-10-28T21:00:00,0.45
2016-11-04T21:00:00,4.01
2016-11-11T22:00:00,3.54
2016-11-18T22:00:00,1.31
2016-11-25T22:00:00,0.97
2016-12-02T22:00:00,1.89
2016-12-09T22:00:00,3.42
2016-12-16T22:00:00,1.89
2016-12-23T22:00:00,1.03
2016-12-30T22:00:00,1.33
2017-01-06T22:00:00,0.9
2017-01-13T22:00:00,1.12
2017-01-20T22:00:00,1.02
