date,SGD
2022-04-21T21:00:00,-18.77
2022-04-24T21:00:00,-15.82
2022-04-25T21:00:00,-15.49
2022-04-26T21:00:00,-12.26
2022-04-27T21:00:00,-11.36
2022-04-28T21:00:00,-7.65
2022-05-01T21:00:00,-4.8
2022-05-02T21:00:00,-5.06
2022-05-03T21:00:00,0.63
2022-05-04T21:00:00,-3.33
2022-05-05T21:00:00,-2.43
2022-05-08T21:00:00,-0.12
2022-05-09T21:00:00,4.62
2022-05-10T21:00:00,3.54
2022-05-11T21:00:00,7.12
2022-05-12T21:00:00,5.38
2022-05-15T21:00:00,2.12
2022-05-16T21:00:00,3.18
2022-05-17T21:00:00,1.88
2022-05-18T21:00:00,-0.77
2022-05-19T21:00:00,-0.52
