date,AUD
2022-03-29T21:00:00,-93.35
2022-03-30T21:00:00,-95.33
2022-03-31T21:00:00,-89.8
2022-04-03T21:00:00,-82.02
2022-04-04T21:00:00,-73.5
2022-04-05T21:00:00,-82.1
2022-04-06T21:00:00,-86.54
2022-04-07T21:00:00,-89.52
2022-04-10T21:00:00,-94.47
2022-04-11T21:00:00,-90.47
2022-04-12T21:00:00,-93.51
2022-04-13T21:00:00,-96.25
2022-04-17T21:00:00,-102.94
2022-04-18T21:00:00,-91.9
2022-04-19T21:00:00,-86.04
2022-04-20T21:00:00,-92.48
2022-04-21T21:00:00,-103.32
2022-04-24T21:00:00,-107.12
2022-04-25T21:00:00,-111.67
2022-04-26T21:00:00,-105.9
2022-04-27T21:00:00,-104.73
2022-04-28T21:00:00,-110.09
2022-05-01T21:00:00,-107.25
2022-05-02T21:00:00,-100.68
2022-05-03T21:00:00,-91.48
2022-05-04T21:00:00,-99.51
2022-05-05T21:00:00,-102.95
2022-05-08T21:00:00,-116.67
2022-05-09T21:00:00,-113.66
2022-05-10T21:00:00,-115.28
2022-05-11T21:00:00,-119.37
2022-05-12T21:00:00,-109.96
2022-05-15T21:00:00,-108.98
2022-05-16T21:00:00,-104.12
2022-05-17T21:00:00,-112.25
2022-05-18T21:00:00,-108.42
2022-05-19T21:00:00,-108.7
