date,CAD
2022-04-21T21:00:00,-180.75
2022-04-24T21:00:00,-175.22
2022-04-25T21:00:00,-179.01
2022-04-26T21:00:00,-173.36
2022-04-27T21:00:00,-166.31
2022-04-28T21:00:00,-170.37
2022-05-01T21:00:00,-167.52
2022-05-02T21:00:00,-164.83
2022-05-03T21:00:00,-160.19
2022-05-04T21:00:00,-162.3
2022-05-05T21:00:00,-166.61
2022-05-08T21:00:00,-168.6
2022-05-09T21:00:00,-164.86
2022-05-10T21:00:00,-163.66
2022-05-11T21:00:00,-158.12
2022-05-12T21:00:00,-150.5
2022-05-15T21:00:00,-149.62
2022-05-16T21:00:00,-151.34
2022-05-17T21:00:00,-154.17
2022-05-18T21:00:00,-159.88
2022-05-19T21:00:00,-158.45
