date,EUR
2022-04-21T21:00:00,-248.88
2022-04-24T21:00:00,-252.92
2022-04-25T21:00:00,-256.7
2022-04-26T21:00:00,-260.56
2022-04-27T21:00:00,-262.06
2022-04-28T21:00:00,-256.17
2022-05-01T21:00:00,-255.29
2022-05-02T21:00:00,-254.5
2022-05-03T21:00:00,-249.8
2022-05-04T21:00:00,-251.3
2022-05-05T21:00:00,-247.96
2022-05-08T21:00:00,-235.78
2022-05-09T21:00:00,-234.18
2022-05-10T21:00:00,-237.75
2022-05-11T21:00:00,-242.87
2022-05-12T21:00:00,-244.35
2022-05-15T21:00:00,-246.71
2022-05-16T21:00:00,-238.47
2022-05-17T21:00:00,-243.55
2022-05-18T21:00:00,-241.71
2022-05-19T21:00:00,-243.23
