date,JPY
2022-03-29T21:00:00,-345.75
2022-03-30T21:00:00,-341.85
2022-03-31T21:00:00,-347.38
2022-04-03T21:00:00,-349.44
2022-04-04T21:00:00,-354.11
2022-04-05T21:00:00,-353.84
2022-04-06T21:00:00,-354.95
2022-04-07T21:00:00,-357.86
2022-04-10T21:00:00,-368.65
2022-04-11T21:00:00,-370.59
2022-04-12T21:00:00,-376.3
2022-04-13T21:00:00,-375.83
2022-04-17T21:00:00,-382.44
2022-04-18T21:00:00,-393.67
2022-04-19T21:00:00,-390.0
2022-04-20T21:00:00,-387.15
2022-04-21T21:00:00,-378.88
2022-04-24T21:00:00,-366.74
2022-04-25T21:00:00,-353.59
2022-04-26T21:00:00,-360.02
2022-04-27T21:00:00,-377.07
2022-04-28T21:00:00,-366.29
2022-05-01T21:00:00,-363.35
2022-05-02T21:00:00,-364.25
2022-05-03T21:00:00,-361.26
2022-05-04T21:00:00,-363.42
2022-05-05T21:00:00,-363.77
2022-05-08T21:00:00,-353.27
2022-05-09T21:00:00,-349.48
2022-05-10T21:00:00,-347.11
2022-05-11T21:00:00,-322.26
2022-05-12T21:00:00,-335.11
2022-05-15T21:00:00,-338.75
2022-05-16T21:00:00,-346.46
2022-05-17T21:00:00,-330.88
2022-05-18T21:00:00,-339.18
2022-05-19T21:00:00,-342.37
