date,GBP
2022-03-21T21:00:00,-268.51
2022-03-22T21:00:00,-276.18
2022-03-23T21:00:00,-278.89
2022-03-24T21:00:00,-279.66
2022-03-27T21:00:00,-279.26
2022-03-28T21:00:00,-282.01
2022-03-29T21:00:00,-282.59
2022-03-30T21:00:00,-279.5
2022-03-31T21:00:00,-278.95
2022-04-03T21:00:00,-278.48
2022-04-04T21:00:00,-279.21
2022-04-05T21:00:00,-278.07
2022-04-06T21:00:00,-277.04
2022-04-07T21:00:00,-280.51
2022-04-10T21:00:00,-279.6
2022-04-11T21:00:00,-284.11
2022-04-12T21:00:00,-276.3
2022-04-13T21:00:00,-276.4
2022-04-17T21:00:00,-278.55
2022-04-18T21:00:00,-273.14
2022-04-19T21:00:00,-272.89
2022-04-20T21:00:00,-269.47
2022-04-21T21:00:00,-277.02
2022-04-24T21:00:00,-278.66
2022-04-25T21:00:00,-289.76
2022-04-26T21:00:00,-287.57
2022-04-27T21:00:00,-290.32
2022-04-28T21:00:00,-278.39
2022-05-01T21:00:00,-281.05
2022-05-02T21:00:00,-281.83
2022-05-03T21:00:00,-275.46
2022-05-04T21:00:00,-293.8
2022-05-05T21:00:00,-293.74
2022-05-08T21:00:00,-288.61
2022-05-09T21:00:00,-285.15
2022-05-10T21:00:00,-293.88
2022-05-11T21:00:00,-288.79
2022-05-12T21:00:00,-287.55
2022-05-15T21:00:00,-285.6
2022-05-16T21:00:00,-274.32
2022-05-17T21:00:00,-284.16
2022-05-18T21:00:00,-283.55
2022-05-19T21:00:00,-284.09
