date,HKD
2022-03-21T21:00:00,-71.58
2022-03-22T21:00:00,-73.59
2022-03-23T21:00:00,-74.86
2022-03-24T21:00:00,-75.92
2022-03-27T21:00:00,-67.74
2022-03-28T21:00:00,-70.23
2022-03-29T21:00:00,-75.05
2022-03-30T21:00:00,-73.67
2022-03-31T21:00:00,-71.05
2022-04-03T21:00:00,-71.89
2022-04-04T21:00:00,-68.78
2022-04-05T21:00:00,-67.16
2022-04-06T21:00:00,-66.53
2022-04-07T21:00:00,-66.61
2022-04-10T21:00:00,-64.89
2022-04-11T21:00:00,-66.62
2022-04-12T21:00:00,-69.76
2022-04-13T21:00:00,-67.38
2022-04-17T21:00:00,-64.28
2022-04-18T21:00:00,-57.59
2022-04-19T21:00:00,-64.1
2022-04-20T21:00:00,-57.6
2022-04-21T21:00:00,-47.78
2022-04-24T21:00:00,-40.54
2022-04-25T21:00:00,-35.42
2022-04-26T21:00:00,-30.47
2022-04-27T21:00:00,-24.84
2022-04-28T21:00:00,-24.05
2022-05-01T21:00:00,-18.09
2022-05-02T21:00:00,-19.07
2022-05-03T21:00:00,-22.67
2022-05-04T21:00:00,-17.99
2022-05-05T21:00:00,-15.42
2022-05-08T21:00:00,-7.62
2022-05-09T21:00:00,-2.78
2022-05-10T21:00:00,-4.66
2022-05-11T21:00:00,5.62
2022-05-12T21:00:00,0.9
2022-05-15T21:00:00,-4.71
2022-05-16T21:00:00,-10.05
2022-05-17T21:00:00,-5.31
2022-05-18T21:00:00,-17.03
2022-05-19T21:00:00,-18.69
