date,NZD
2022-03-22T21:00:00,-113.58
2022-03-23T21:00:00,-116.4
2022-03-24T21:00:00,-116.78
2022-03-27T21:00:00,-118.24
2022-03-28T21:00:00,-114.08
2022-03-29T21:00:00,-111.02
2022-03-30T21:00:00,-115.99
2022-03-31T21:00:00,-114.92
2022-04-03T21:00:00,-110.92
2022-04-04T21:00:00,-108.3
2022-04-05T21:00:00,-111.76
2022-04-06T21:00:00,-116.04
2022-04-07T21:00:00,-123.64
2022-04-10T21:00:00,-126.27
2022-04-11T21:00:00,-123.5
2022-04-12T21:00:00,-135.96
2022-04-13T21:00:00,-134.51
2022-04-17T21:00:00,-143.08
2022-04-18T21:00:00,-136.1
2022-04-19T21:00:00,-129.21
2022-04-20T21:00:00,-136.23
2022-04-21T21:00:00,-143.94
2022-04-24T21:00:00,-138.16
2022-04-25T21:00:00,-143.38
2022-04-26T21:00:00,-142.27
2022-04-27T21:00:00,-146.65
2022-04-28T21:00:00,-151.82
2022-05-01T21:00:00,-151.45
2022-05-02T21:00:00,-152.44
2022-05-03T21:00:00,-157.11
2022-05-04T21:00:00,-153.23
2022-05-05T21:00:00,-154.78
2022-05-08T21:00:00,-162.38
2022-05-09T21:00:00,-163.41
2022-05-10T21:00:00,-164.77
2022-05-11T21:00:00,-166.4
2022-05-12T21:00:00,-160.23
2022-05-15T21:00:00,-160.27
2022-05-16T21:00:00,-155.83
2022-05-17T21:00:00,-163.41
2022-05-18T21:00:00,-158.89
2022-05-19T21:00:00,-156.86
