date,CHF
2022-03-21T21:00:00,-151.65
2022-03-22T21:00:00,-150.83
2022-03-23T21:00:00,-152.18
2022-03-24T21:00:00,-152.69
2022-03-27T21:00:00,-149.22
2022-03-28T21:00:00,-147.86
2022-03-29T21:00:00,-142.29
2022-03-30T21:00:00,-139.76
2022-03-31T21:00:00,-140.69
2022-04-03T21:00:00,-142.3
2022-04-04T21:00:00,-143.15
2022-04-05T21:00:00,-145.58
2022-04-06T21:00:00,-146.27
2022-04-07T21:00:00,-146.55
2022-04-10T21:00:00,-143.49
2022-04-11T21:00:00,-147.71
2022-04-12T21:00:00,-152.91
2022-04-13T21:00:00,-160.41
2022-04-17T21:00:00,-159.77
2022-04-18T21:00:00,-163.32
2022-04-19T21:00:00,-165.09
2022-04-20T21:00:00,-164.45
2022-04-21T21:00:00,-158.9
2022-04-24T21:00:00,-155.04
2022-04-25T21:00:00,-154.78
2022-04-26T21:00:00,-158.24
2022-04-27T21:00:00,-157.69
2022-04-28T21:00:00,-158.58
2022-05-01T21:00:00,-160.75
2022-05-02T21:00:00,-162.83
2022-05-03T21:00:00,-170.51
2022-05-04T21:00:00,-166.16
2022-05-05T21:00:00,-167.96
2022-05-08T21:00:00,-167.98
2022-05-09T21:00:00,-165.71
2022-05-10T21:00:00,-165.27
2022-05-11T21:00:00,-165.34
2022-05-12T21:00:00,-168.45
2022-05-15T21:00:00,-173.7
2022-05-16T21:00:00,-168.47
2022-05-17T21:00:00,-157.52
2022-05-18T21:00:00,-150.22
2022-05-19T21:00:00,-149.52
