date,XAG
2008-06-08T21:00:00,350.47
2008-06-09T21:00:00,326.4
2008-06-10T21:00:00,339.2
2008-06-11T21:00:00,322.1
2008-06-12T21:00:00,329.24
2008-06-13T21:00:00,328.82
2008-06-15T21:00:00,363.96
2008-06-16T21:00:00,355.97
2008-06-17T21:00:00,372.31
2008-06-18T21:00:00,370.1
2008-06-19T21:00:00,368.47
2008-06-22T21:00:00,337.66
2008-06-23T21:00:00,326.7
2008-06-24T21:00:00,331.68
2008-06-25T21:00:00,351.65
2008-06-26T21:00:00,369.27
2008-06-29T21:00:00,363.83
2008-06-30T21:00:00,407.34
2008-07-01T21:00:00,419.02
2008-07-02T21:00:00,418.35
2008-07-03T21:00:00,409.42
2008-07-06T21:00:00,391.72
2008-07-07T21:00:00,394.85
2008-07-08T21:00:00,411.51
2008-07-09T21:00:00,418.21
2008-07-10T21:00:00,443.06
2008-07-12T21:00:00,443.51
2008-07-13T21:00:00,457.55
2008-07-14T21:00:00,441.44
2008-07-15T21:00:00,438.0
2008-07-16T21:00:00,425.83
2008-07-17T21:00:00,404.68
2008-07-20T21:00:00,417.73
2008-07-21T21:00:00,397.73
2008-07-22T21:00:00,368.35
2008-07-23T21:00:00,373.96
2008-07-24T21:00:00,372.84
2008-07-27T21:00:00,379.53
2008-07-28T21:00:00,376.07
2008-07-29T21:00:00,386.99
2008-07-30T21:00:00,402.77
2008-07-31T21:00:00,390.3
2008-08-02T21:00:00,390.07
2008-08-03T21:00:00,359.39
2008-08-04T21:00:00,334.67
2008-08-05T21:00:00,346.51
2008-08-06T21:00:00,325.44
2008-08-07T21:00:00,278.54
2008-08-10T21:00:00,238.26
2008-08-11T21:00:00,228.9
2008-08-12T21:00:00,257.42
2008-08-13T21:00:00,208.76
2008-08-14T21:00:00,102.62
2008-08-17T21:00:00,121.15
2008-08-18T21:00:00,131.95
2008-08-19T21:00:00,134.43
2008-08-20T21:00:00,171.25
2008-08-21T21:00:00,143.66
2008-08-24T21:00:00,156.3
2008-08-25T21:00:00,167.76
2008-08-26T21:00:00,156.11
2008-08-27T21:00:00,172.93
2008-08-28T21:00:00,168.26
2008-08-31T21:00:00,161.72
2008-09-01T21:00:00,137.7
2008-09-02T21:00:00,126.22
2008-09-03T21:00:00,123.72
2008-09-04T21:00:00,78.81
2008-09-06T21:00:00,78.31
2008-09-07T21:00:00,65.08
2008-09-08T21:00:00,-4.56
2008-09-09T21:00:00,-56.01
2008-09-10T21:00:00,-69.37
2008-09-11T21:00:00,-46.01
2008-09-13T21:00:00,-49.46
2008-09-14T21:00:00,-25.02
2008-09-15T21:00:00,-82.31
2008-09-16T21:00:00,53.71
2008-09-17T21:00:00,49.78
2008-09-18T21:00:00,101.51
2008-09-21T21:00:00,159.75
2008-09-22T21:00:00,151.69
2008-09-23T21:00:00,153.05
2008-09-24T21:00:00,153.84
2008-09-25T21:00:00,156.84
2008-09-28T21:00:00,147.84
2008-09-29T21:00:00,71.34
2008-09-30T21:00:00,120.89
2008-10-01T21:00:00,-19.33
2008-10-02T21:00:00,10.16
2008-10-03T21:00:00,9.74
2008-10-04T21:00:00,8.97
2008-10-05T21:00:00,12.22
2008-10-06T21:00:00,65.46
2008-10-07T21:00:00,86.95
2008-10-08T21:00:00,123.16
2008-10-09T21:00:00,-50.86
2008-10-11T21:00:00,-55.62
2008-10-12T21:00:00,9.21
