"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041102 ,2004-11-02,02365F ,NYME ,01 ,023 ,   29609,    1148,    1722,    1133,   24319,   24937,   26600,   27792,    3009,    1817,   29609,    1148,    1722,    1133,   24319,   24937,   26600,   27792,    3009,    1817,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -475,     988,      90,    -211,    -192,     978,     585,     857,   -1060,   -1332,  100.0,    3.9,    5.8,    3.8,   82.1,   84.2,   89.8,   93.9,   10.2,    6.1,  100.0,    3.9,    5.8,    3.8,   82.1,   84.2,   89.8,   93.9,   10.2,    6.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      1,      2,      2,     15,     13,     17,     16,     21,      1,      2,      2,     15,     13,     17,     16,      0,      0,      0,      0,      0,      0,      0,      0,    45.5,    52.6,    68.9,    75.6,    42.9,    45.1,    57.9,    63.1,    45.5,    52.6,    68.9,    75.6,    42.9,    45.1,    57.9,    63.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041026 ,2004-10-26,02365F ,NYME ,01 ,023 ,   30084,     160,    1632,    1344,   24511,   23959,   26015,   26935,    4069,    3149,   30084,     160,    1632,    1344,   24511,   23959,   26015,   26935,    4069,    3149,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     317,      58,       0,       0,    -133,     286,     -75,     286,     392,      31,  100.0,    0.5,    5.4,    4.5,   81.5,   79.6,   86.5,   89.5,   13.5,   10.5,  100.0,    0.5,    5.4,    4.5,   81.5,   79.6,   86.5,   89.5,   13.5,   10.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      1,      2,      2,     16,     13,     18,     16,     20,      1,      2,      2,     16,     13,     18,     16,      0,      0,      0,      0,      0,      0,      0,      0,    46.7,    49.0,    69.2,    71.8,    42.9,    42.1,    55.6,    61.8,    46.7,    49.0,    69.2,    71.8,    42.9,    42.1,    55.6,    61.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041019 ,2004-10-19,02365F ,NYME ,01 ,023 ,   29767,     102,    1632,    1344,   24644,   23673,   26090,   26649,    3677,    3118,   29767,     102,    1632,    1344,   24644,   23673,   26090,   26649,    3677,    3118,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,  100.0,    0.3,    5.5,    4.5,   82.8,   79.5,   87.6,   89.5,   12.4,   10.5,  100.0,    0.3,    5.5,    4.5,   82.8,   79.5,   87.6,   89.5,   12.4,   10.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      1,      2,      2,     17,     13,     19,     16,     21,      1,      2,      2,     17,     13,     19,     16,      0,      0,      0,      0,      0,      0,      0,      0,    46.7,    48.4,    69.7,    70.3,    43.7,    42.2,    55.7,    60.9,    46.7,    48.4,    69.7,    70.3,    43.7,    42.2,    55.7,    60.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040928 ,2004-09-28,02365F ,NYME ,01 ,023 ,   31436,    2195,    1607,     856,   24703,   26113,   27754,   28576,    3682,    2860,   31436,    2195,    1607,     856,   24703,   26113,   27754,   28576,    3682,    2860,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     705,      62,    -954,     -31,     253,    1080,     284,      95,     421,     610,  100.0,    7.0,    5.1,    2.7,   78.6,   83.1,   88.3,   90.9,   11.7,    9.1,  100.0,    7.0,    5.1,    2.7,   78.6,   83.1,   88.3,   90.9,   11.7,    9.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      2,      1,      1,     16,     15,     18,     17,     22,      2,      1,      1,     16,     15,     18,     17,      0,      0,      0,      0,      0,      0,      0,      0,    49.0,    45.5,    68.9,    69.2,    44.8,    37.1,    57.1,    57.9,    49.0,    45.5,    68.9,    69.2,    44.8,    37.1,    57.1,    57.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040921 ,2004-09-21,02365F ,NYME ,01 ,023 ,   30731,    2133,    2561,     887,   24450,   25033,   27470,   28481,    3261,    2250,   30731,    2133,    2561,     887,   24450,   25033,   27470,   28481,    3261,    2250,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     649,     761,    -209,       0,     556,     430,    1317,     221,    -668,     428,  100.0,    6.9,    8.3,    2.9,   79.6,   81.5,   89.4,   92.7,   10.6,    7.3,  100.0,    6.9,    8.3,    2.9,   79.6,   81.5,   89.4,   92.7,   10.6,    7.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,      2,      2,      2,     16,     15,     19,     18,     23,      2,      2,      2,     16,     15,     19,     18,      0,      0,      0,      0,      0,      0,      0,      0,    50.9,    45.6,    71.1,    69.3,    47.0,    37.5,    59.4,    57.9,    50.9,    45.6,    71.1,    69.3,    47.0,    37.5,    59.4,    57.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040914 ,2004-09-14,02365F ,NYME ,01 ,023 ,   30082,    1372,    2770,     887,   23894,   24603,   26153,   28260,    3929,    1822,   30082,    1372,    2770,     887,   23894,   24603,   26153,   28260,    3929,    1822,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -370,       0,     178,       0,    -370,    -486,    -370,    -308,       0,     -62,  100.0,    4.6,    9.2,    2.9,   79.4,   81.8,   86.9,   93.9,   13.1,    6.1,  100.0,    4.6,    9.2,    2.9,   79.4,   81.8,   86.9,   93.9,   13.1,    6.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      1,      2,      2,     16,     14,     18,     17,     22,      1,      2,      2,     16,     14,     18,     17,      0,      0,      0,      0,      0,      0,      0,      0,    48.4,    46.2,    70.6,    70.6,    46.2,    37.0,    57.7,    57.2,    48.4,    46.2,    70.6,    70.6,    46.2,    37.0,    57.7,    57.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040907 ,2004-09-07,02365F ,NYME ,01 ,023 ,   30452,    1372,    2592,     887,   24264,   25089,   26523,   28568,    3929,    1884,   30452,    1372,    2592,     887,   24264,   25089,   26523,   28568,    3929,    1884,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -5084,    1072,     164,      42,   -6300,   -5725,   -5186,   -5519,     102,     435,  100.0,    4.5,    8.5,    2.9,   79.7,   82.4,   87.1,   93.8,   12.9,    6.2,  100.0,    4.5,    8.5,    2.9,   79.7,   82.4,   87.1,   93.8,   12.9,    6.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      1,      2,      2,     14,     14,     16,     17,     22,      1,      2,      2,     14,     14,     16,     17,      0,      0,      0,      0,      0,      0,      0,      0,    49.4,    47.3,    72.6,    71.8,    46.7,    36.8,    58.4,    56.7,    49.4,    47.3,    72.6,    71.8,    46.7,    36.8,    58.4,    56.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040831 ,2004-08-31,02365F ,NYME ,01 ,023 ,   35536,     300,    2428,     845,   30564,   30814,   31709,   34087,    3827,    1449,   35536,     300,    2428,     845,   30564,   30814,   31709,   34087,    3827,    1449,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1100,       0,    1331,      31,    1194,     364,    1225,    1726,    -125,    -626,  100.0,    0.8,    6.8,    2.4,   86.0,   86.7,   89.2,   95.9,   10.8,    4.1,  100.0,    0.8,    6.8,    2.4,   86.0,   86.7,   89.2,   95.9,   10.8,    4.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,      1,      2,      3,     17,     17,     20,     20,     25,      1,      2,      3,     17,     17,     20,     20,      0,      0,      0,      0,      0,      0,      0,      0,    50.1,    45.5,    69.1,    68.1,    45.8,    32.7,    54.1,    49.8,    50.1,    45.5,    69.1,    68.1,    45.8,    32.7,    54.1,    49.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040824 ,2004-08-24,02365F ,NYME ,01 ,023 ,   34436,     300,    1097,     814,   29370,   30450,   30484,   32361,    3952,    2075,   34436,     300,    1097,     814,   29370,   30450,   30484,   32361,    3952,    2075,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1124,      -4,       0,     304,     248,     644,     548,     948,     576,     176,  100.0,    0.9,    3.2,    2.4,   85.3,   88.4,   88.5,   94.0,   11.5,    6.0,  100.0,    0.9,    3.2,    2.4,   85.3,   88.4,   88.5,   94.0,   11.5,    6.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,      1,      1,      2,     17,     16,     19,     18,     23,      1,      1,      2,     17,     16,     19,     18,      0,      0,      0,      0,      0,      0,      0,      0,    50.8,    49.4,    68.9,    71.8,    44.9,    35.7,    54.2,    53.6,    50.8,    49.4,    68.9,    71.8,    44.9,    35.7,    54.2,    53.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040817 ,2004-08-17,02365F ,NYME ,01 ,023 ,   33312,     304,    1097,     510,   29122,   29806,   29936,   31413,    3376,    1899,   33312,     304,    1097,     510,   29122,   29806,   29936,   31413,    3376,    1899,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1497,     -60,    -200,    -246,    1527,    1373,    1221,     927,     276,     570,  100.0,    0.9,    3.3,    1.5,   87.4,   89.5,   89.9,   94.3,   10.1,    5.7,  100.0,    0.9,    3.3,    1.5,   87.4,   89.5,   89.9,   94.3,   10.1,    5.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,      1,      1,      1,     17,     17,     19,     18,     23,      1,      1,      1,     17,     17,     19,     18,      0,      0,      0,      0,      0,      0,      0,      0,    50.8,    49.1,    69.7,    72.5,    44.6,    36.8,    53.9,    53.2,    50.8,    49.1,    69.7,    72.5,    44.6,    36.8,    53.9,    53.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040810 ,2004-08-10,02365F ,NYME ,01 ,023 ,   31815,     364,    1297,     756,   27595,   28433,   28715,   30486,    3100,    1329,   31815,     364,    1297,     756,   27595,   28433,   28715,   30486,    3100,    1329,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1463,       0,     200,     246,    1217,    1051,    1463,    1497,       0,     -34,  100.0,    1.1,    4.1,    2.4,   86.7,   89.4,   90.3,   95.8,    9.7,    4.2,  100.0,    1.1,    4.1,    2.4,   86.7,   89.4,   90.3,   95.8,    9.7,    4.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,      1,      2,      2,     17,     17,     20,     19,     24,      1,      2,      2,     17,     17,     20,     19,      0,      0,      0,      0,      0,      0,      0,      0,    53.9,    50.6,    71.2,    73.2,    44.8,    37.3,    53.9,    53.8,    53.9,    50.6,    71.2,    73.2,    44.8,    37.3,    53.9,    53.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040803 ,2004-08-03,02365F ,NYME ,01 ,023 ,   30352,     364,    1097,     510,   26378,   27382,   27252,   28989,    3100,    1363,   30352,     364,    1097,     510,   26378,   27382,   27252,   28989,    3100,    1363,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1935,    -248,    -147,    -155,    -632,   -1293,   -1035,   -1595,    -900,    -340,  100.0,    1.2,    3.6,    1.7,   86.9,   90.2,   89.8,   95.5,   10.2,    4.5,  100.0,    1.2,    3.6,    1.7,   86.9,   90.2,   89.8,   95.5,   10.2,    4.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      1,      1,      1,     16,     15,     18,     16,     21,      1,      1,      1,     16,     15,     18,     16,      0,      0,      0,      0,      0,      0,      0,      0,    55.3,    52.3,    76.4,    76.0,    47.9,    40.5,    58.0,    57.5,    55.3,    52.3,    76.4,    76.0,    47.9,    40.5,    58.0,    57.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040727 ,2004-07-27,02365F ,NYME ,01 ,023 ,   32287,     612,    1244,     665,   27010,   28675,   28287,   30584,    4000,    1703,   32287,     612,    1244,     665,   27010,   28675,   28287,   30584,    4000,    1703,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1730,       0,     124,     -62,     785,    1240,     723,    1302,    1007,     428,  100.0,    1.9,    3.9,    2.1,   83.7,   88.8,   87.6,   94.7,   12.4,    5.3,  100.0,    1.9,    3.9,    2.1,   83.7,   88.8,   87.6,   94.7,   12.4,    5.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      1,      2,      1,     15,     14,     17,     16,     21,      1,      2,      1,     15,     14,     17,     16,      0,      0,      0,      0,      0,      0,      0,      0,    53.8,    53.6,    75.0,    77.5,    49.2,    42.0,    58.7,    58.2,    53.8,    53.6,    75.0,    77.5,    49.2,    42.0,    58.7,    58.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040720 ,2004-07-20,02365F ,NYME ,01 ,023 ,   30557,     612,    1120,     727,   26225,   27435,   27564,   29282,    2993,    1275,   30557,     612,    1120,     727,   26225,   27435,   27564,   29282,    2993,    1275,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3002,       0,       0,       0,    2939,    2881,    2939,    2881,      63,     121,  100.0,    2.0,    3.7,    2.4,   85.8,   89.8,   90.2,   95.8,    9.8,    4.2,  100.0,    2.0,    3.7,    2.4,   85.8,   89.8,   90.2,   95.8,    9.8,    4.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      1,      2,      2,     16,     15,     19,     17,     22,      1,      2,      2,     16,     15,     19,     17,      0,      0,      0,      0,      0,      0,      0,      0,    55.9,    53.4,    76.3,    80.1,    51.2,    42.6,    61.5,    61.0,    55.9,    53.4,    76.3,    80.1,    51.2,    42.6,    61.5,    61.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040713 ,2004-07-13,02365F ,NYME ,01 ,023 ,   27555,     612,    1120,     727,   23286,   24554,   24625,   26401,    2930,    1154,   27555,     612,    1120,     727,   23286,   24554,   24625,   26401,    2930,    1154,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3103,       0,       0,       0,    3103,    3256,    3103,    3256,       0,    -153,  100.0,    2.2,    4.1,    2.6,   84.5,   89.1,   89.4,   95.8,   10.6,    4.2,  100.0,    2.2,    4.1,    2.6,   84.5,   89.1,   89.4,   95.8,   10.6,    4.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      1,      2,      2,     15,     15,     18,     17,     22,      1,      2,      2,     15,     15,     18,     17,      0,      0,      0,      0,      0,      0,      0,      0,    53.0,    48.1,    72.3,    77.3,    42.6,    42.8,    56.5,    62.1,    53.0,    48.1,    72.3,    77.3,    42.6,    42.8,    56.5,    62.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040706 ,2004-07-06,02365F ,NYME ,01 ,023 ,   24452,     612,    1120,     727,   20183,   21298,   21522,   23145,    2930,    1307,   24452,     612,    1120,     727,   20183,   21298,   21522,   23145,    2930,    1307,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -4109,    -194,     953,    -953,   -2404,   -4169,   -3551,   -4169,    -558,      60,  100.0,    2.5,    4.6,    3.0,   82.5,   87.1,   88.0,   94.7,   12.0,    5.3,  100.0,    2.5,    4.6,    3.0,   82.5,   87.1,   88.0,   94.7,   12.0,    5.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      1,      2,      2,     15,     15,     18,     17,     21,      1,      2,      2,     15,     15,     18,     17,      0,      0,      0,      0,      0,      0,      0,      0,    51.8,    45.2,    73.3,    76.8,    44.8,    43.0,    59.2,    64.0,    51.8,    45.2,    73.3,    76.8,    44.8,    43.0,    59.2,    64.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040629 ,2004-06-29,02365F ,NYME ,01 ,023 ,   28561,     806,     167,    1680,   22587,   25467,   25073,   27314,    3488,    1247,   28561,     806,     167,    1680,   22587,   25467,   25073,   27314,    3488,    1247,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1102,      68,    -116,      54,     646,    1102,     768,    1040,     334,      62,  100.0,    2.8,    0.6,    5.9,   79.1,   89.2,   87.8,   95.6,   12.2,    4.4,  100.0,    2.8,    0.6,    5.9,   79.1,   89.2,   87.8,   95.6,   12.2,    4.4,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      2,      1,      2,     14,     16,     17,     18,     22,      2,      1,      2,     14,     16,     17,     18,      0,      0,      0,      0,      0,      0,      0,      0,    49.2,    45.8,    70.7,    72.6,    44.2,    43.4,    57.6,    62.6,    49.2,    45.8,    70.7,    72.6,    44.2,    43.4,    57.6,    62.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040622 ,2004-06-22,02365F ,NYME ,01 ,023 ,   27459,     738,     283,    1626,   21941,   24365,   24305,   26274,    3154,    1185,   27459,     738,     283,    1626,   21941,   24365,   24305,   26274,    3154,    1185,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     738,     730,     116,     -54,     614,    1168,    1290,    1230,    -552,    -492,  100.0,    2.7,    1.0,    5.9,   79.9,   88.7,   88.5,   95.7,   11.5,    4.3,  100.0,    2.7,    1.0,    5.9,   79.9,   88.7,   88.5,   95.7,   11.5,    4.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      1,      2,      2,     14,     16,     17,     18,     22,      1,      2,      2,     14,     16,     17,     18,      0,      0,      0,      0,      0,      0,      0,      0,    50.3,    51.2,    71.0,    73.7,    46.5,    45.4,    60.1,    66.1,    50.3,    51.2,    71.0,    73.7,    46.5,    45.4,    60.1,    66.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040615 ,2004-06-15,02365F ,NYME ,01 ,023 ,   26721,       8,     167,    1680,   21327,   23197,   23015,   25044,    3706,    1677,   26721,       8,     167,    1680,   21327,   23197,   23015,   25044,    3706,    1677,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1013,       8,    -240,      -8,    -889,   -1011,    -889,   -1259,    -124,     246,  100.0,    0.0,    0.6,    6.3,   79.8,   86.8,   86.1,   93.7,   13.9,    6.3,  100.0,    0.0,    0.6,    6.3,   79.8,   86.8,   86.1,   93.7,   13.9,    6.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      1,      1,      2,     13,     15,     15,     17,     20,      1,      1,      2,     13,     15,     15,     17,      0,      0,      0,      0,      0,      0,      0,      0,    51.2,    56.2,    72.8,    77.8,    47.3,    50.3,    62.9,    69.7,    51.2,    56.2,    72.8,    77.8,    47.3,    50.3,    62.9,    69.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
