,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2018-04-04,0.86,0.82,0.8,0.63,0.67,0.58,1.02,0.88,0.63,0.58
2018-04-05,0.62,0.66,0.5,0.48,0.69,0.57,0.58,0.66,0.44,0.57
2018-04-06,0.67,0.69,0.69,0.56,0.82,0.54,0.69,0.63,0.55,0.54
2018-04-09,0.69,0.84,0.54,0.53,0.58,0.59,0.7,0.65,0.51,0.59
2018-04-10,0.87,0.9,0.71,0.67,0.63,0.61,1.07,0.88,0.58,0.61
2018-04-11,0.51,0.6,0.53,0.46,0.53,0.39,0.61,0.5,0.39,0.39
2018-04-12,0.54,0.58,0.74,0.61,0.83,0.53,0.69,0.74,0.52,0.53
2018-04-13,0.76,0.59,0.52,0.49,0.58,0.46,0.74,0.73,0.54,0.46
2018-04-16,0.5,0.48,0.54,0.52,0.7,0.46,0.59,0.56,0.43,0.46
2018-04-17,0.48,0.63,0.86,0.56,0.6,0.48,0.49,0.6,0.44,0.48
2018-04-18,0.69,0.93,0.53,0.55,0.95,0.52,0.55,0.59,0.5,0.52
2018-04-19,1.0,0.69,0.66,0.63,1.05,0.69,0.73,0.95,0.6,0.69
2018-04-20,0.7,0.92,0.59,0.65,0.66,0.73,0.67,0.77,0.55,0.69
2018-04-23,0.63,0.57,0.62,0.52,0.59,0.77,0.61,0.61,0.53,0.75
2018-04-24,0.55,0.49,0.56,0.54,0.56,0.5,0.67,0.79,0.51,0.48
2018-04-25,0.47,0.56,0.45,0.45,0.44,0.59,0.46,0.6,0.41,0.59
2018-04-26,0.49,0.52,0.71,0.71,0.63,0.55,0.49,0.54,0.48,0.54
2018-04-27,0.6,0.53,0.53,0.59,1.46,0.61,0.54,0.69,0.57,0.62
2018-04-30,0.59,0.64,0.49,0.54,0.63,0.49,0.51,0.64,0.46,0.5
2018-05-01,0.61,0.71,0.53,0.54,0.98,0.74,0.54,0.49,0.48,0.74
2018-05-02,0.68,0.55,0.51,0.58,0.67,0.58,0.55,0.56,0.53,0.58
2018-05-03,0.63,0.63,0.53,0.51,0.66,0.6,0.99,0.68,0.51,0.6
2018-05-04,0.68,0.57,0.54,0.54,0.6,0.61,0.77,0.63,0.51,0.61
2018-05-07,0.53,0.48,0.51,0.52,0.57,0.52,0.52,0.49,0.42,0.52
2018-05-08,0.91,0.79,0.8,0.65,0.73,0.72,0.73,0.81,0.61,0.72
2018-05-09,0.74,1.15,0.68,0.63,0.7,0.66,0.96,0.68,0.68,0.66
2018-05-10,1.0,0.91,0.75,0.79,1.24,0.85,0.79,1.33,0.85,0.85
2018-05-11,0.48,0.59,0.51,0.52,0.54,0.49,0.48,0.5,0.4,0.49
2018-05-14,0.47,0.45,0.52,0.49,0.52,0.48,0.55,0.8,0.46,0.49
2018-05-15,0.69,0.71,0.77,0.63,0.66,0.81,0.63,0.71,0.62,0.81
2018-05-16,0.85,0.77,0.61,0.89,0.67,0.58,0.65,0.82,0.59,0.58
2018-05-17,0.56,0.55,0.48,0.47,0.62,0.56,0.59,0.71,0.45,0.56
2018-05-18,0.56,1.02,0.77,0.64,0.63,0.54,0.61,0.84,0.51,0.54
2018-05-21,0.92,0.78,0.54,0.57,0.81,0.62,0.65,0.77,0.53,0.63
2018-05-22,0.54,0.63,0.83,0.58,0.6,0.52,0.57,0.78,0.51,0.52
2018-05-23,0.86,0.9,1.06,1.01,1.02,0.8,1.66,0.89,0.74,0.8
2018-05-24,0.61,0.98,0.79,0.58,0.68,0.56,1.09,0.65,0.55,0.57
2018-05-25,0.64,0.82,0.75,0.69,0.68,0.55,0.84,0.61,0.53,0.54
2018-05-28,0.53,0.61,0.59,0.96,0.47,0.49,0.76,0.72,0.48,0.51
2018-05-29,0.9,0.78,1.4,1.1,0.94,0.81,1.59,0.93,0.78,0.82
2018-05-30,1.16,1.46,1.01,1.16,0.9,0.96,1.42,1.38,0.85,0.95
2018-05-31,0.71,1.39,0.88,0.81,0.72,0.66,0.9,0.88,0.64,0.63
2018-06-01,0.79,0.66,0.71,0.78,0.94,0.66,0.87,0.76,0.63,0.66
2018-06-04,1.17,0.58,0.67,0.64,0.83,0.68,0.75,0.87,0.55,0.67
2018-06-05,0.83,1.05,0.67,0.67,0.85,0.62,0.7,0.67,0.59,0.62
2018-06-06,0.81,0.92,0.75,0.76,0.57,0.52,0.73,0.63,0.5,0.52
2018-06-07,0.9,0.69,0.96,0.68,0.77,0.54,0.87,0.63,0.54,0.55
2018-06-08,0.86,0.94,0.93,0.7,0.69,0.61,0.97,0.67,0.6,0.62
2018-06-11,0.52,0.65,0.52,0.52,0.69,0.44,0.86,0.58,0.43,0.44
2018-06-12,0.65,0.48,0.57,0.55,0.65,0.5,0.57,0.63,0.44,0.5
2018-06-13,0.74,0.59,0.52,0.56,0.6,0.63,0.53,0.85,0.52,0.63
2018-06-14,1.09,0.92,1.07,1.74,0.99,1.19,0.92,0.9,0.81,1.2
2018-06-15,0.64,0.86,0.62,0.79,0.71,0.57,0.62,0.73,0.7,0.57
2018-06-18,0.59,0.61,0.59,0.56,0.59,0.43,0.54,0.6,0.43,0.43
2018-06-19,0.92,0.81,0.83,0.83,0.81,0.76,1.34,0.83,0.69,0.76
2018-06-20,0.63,0.47,0.53,0.56,0.64,0.49,0.62,0.79,0.44,0.47
2018-06-21,0.66,0.69,0.71,0.81,1.05,0.73,0.77,0.7,0.6,0.73
2018-06-22,0.91,1.01,0.65,0.68,0.74,0.63,0.76,0.91,0.67,0.62
2018-06-25,0.69,0.56,0.59,0.79,0.64,0.49,0.92,0.58,0.6,0.49
2018-06-26,0.51,0.53,0.52,0.52,0.56,0.55,0.65,0.62,0.51,0.57
2018-06-27,0.9,0.91,0.7,0.81,0.77,0.82,0.84,0.93,0.66,0.82
2018-06-28,0.59,0.94,0.51,0.63,0.63,0.53,0.7,0.99,0.51,0.53
2018-06-29,0.79,0.98,0.78,0.89,0.91,0.76,1.05,0.75,0.66,0.78
2018-07-02,1.0,0.66,0.65,0.66,0.71,0.82,0.88,1.16,0.61,0.8
2018-07-03,0.93,0.58,0.56,0.52,0.57,0.63,0.76,0.8,0.6,0.64
2018-07-04,0.58,0.39,0.38,0.43,0.59,0.41,0.4,0.52,0.4,0.42
2018-07-05,0.55,0.43,0.46,0.55,0.58,0.45,0.64,0.64,0.41,0.44
2018-07-06,0.62,0.63,0.54,0.52,0.52,0.61,0.54,0.66,0.5,0.62
2018-07-09,0.79,0.51,0.64,0.49,1.15,0.56,0.62,0.56,0.5,0.57
2018-07-10,0.55,0.46,0.45,0.47,0.66,0.5,0.54,0.59,0.48,0.5
2018-07-11,0.86,0.92,0.61,0.64,0.59,0.83,0.96,0.82,0.61,0.83
2018-07-12,0.78,0.63,0.96,0.51,0.54,0.51,0.81,0.61,0.5,0.51
2018-07-13,0.59,0.48,0.55,0.5,0.77,0.59,0.62,0.69,0.53,0.59
2018-07-16,0.49,0.48,0.58,0.41,0.51,0.42,0.49,0.47,0.41,0.42
2018-07-17,0.68,0.64,0.71,0.63,1.15,0.79,0.66,1.2,0.62,0.8
2018-07-18,0.71,0.67,0.59,0.58,0.89,0.59,0.62,0.7,0.49,0.59
2018-07-19,1.2,0.86,0.77,0.75,0.75,0.93,1.02,0.99,0.7,0.94
2018-07-20,0.88,0.88,0.64,0.62,0.7,1.05,0.77,0.81,0.67,1.04
2018-07-23,0.65,0.45,0.44,0.46,0.44,0.55,0.62,0.54,0.44,0.55
2018-07-24,0.79,0.41,0.48,0.48,0.53,0.52,0.56,0.54,0.42,0.52
2018-07-25,0.82,0.87,0.52,0.54,0.51,0.64,0.68,0.59,0.49,0.63
2018-07-26,0.84,0.58,0.55,0.61,0.59,0.66,0.62,0.68,0.56,0.69
2018-07-27,0.52,0.45,0.48,0.35,0.39,0.38,0.42,0.47,0.39,0.39
2018-07-30,0.42,0.52,0.65,0.48,0.42,0.44,0.45,0.51,0.39,0.44
2018-07-31,0.69,0.92,0.58,0.59,0.64,0.54,1.16,0.59,0.53,0.53
2018-08-01,0.5,0.55,0.43,0.44,0.43,0.39,0.68,0.53,0.37,0.39
2018-08-02,0.63,0.57,0.5,0.56,0.9,0.55,0.73,0.66,0.52,0.56
2018-08-03,0.66,0.5,0.43,0.51,0.52,0.52,0.62,0.57,0.48,0.53
2018-08-06,0.33,0.38,0.37,0.33,0.57,0.39,0.34,0.37,0.31,0.4
2018-08-07,0.7,0.87,0.45,0.48,0.48,0.48,0.5,0.49,0.49,0.48
2018-08-08,0.61,0.68,0.46,0.47,0.81,0.53,0.7,0.53,0.44,0.53
