date,trend,signal
2021-09-09T21:00:00,0,1
2021-09-12T21:00:00,2,-1
2021-09-13T21:00:00,2,1
2021-09-14T21:00:00,2,0
2021-09-15T21:00:00,0,-1
2021-09-16T21:00:00,0,-1
2021-09-19T21:00:00,-2,1
2021-09-20T21:00:00,0,1
2021-09-21T21:00:00,0,1
2021-09-22T21:00:00,2,-1
2021-09-23T21:00:00,2,0
2021-09-26T21:00:00,2,-1
2021-09-27T21:00:00,2,1
2021-09-28T21:00:00,2,1
2021-09-29T21:00:00,0,0
2021-09-30T21:00:00,0,0
2021-10-03T21:00:00,0,0
2021-10-04T21:00:00,0,-1
2021-10-05T21:00:00,2,1
2021-10-06T21:00:00,2,0
2021-10-07T21:00:00,2,-1
2021-10-10T21:00:00,2,1
2021-10-11T21:00:00,0,-1
2021-10-12T21:00:00,0,1
2021-10-13T21:00:00,0,-1
2021-10-14T21:00:00,2,-1
2021-10-17T21:00:00,-2,0
2021-10-18T21:00:00,-2,0
2021-10-19T21:00:00,-2,-1
2021-10-20T21:00:00,-2,1
2021-10-21T21:00:00,-2,0
2021-10-24T21:00:00,0,0
2021-10-25T21:00:00,-2,0
2021-10-26T21:00:00,-2,-1
2021-10-27T21:00:00,-2,1
2021-10-28T21:00:00,-2,-1
2021-10-31T21:00:00,-2,1
2021-11-01T21:00:00,-2,-1
2021-11-02T21:00:00,-2,-1
2021-11-03T21:00:00,-2,1
2021-11-04T21:00:00,-2,0
2021-11-07T22:00:00,0,0
2021-11-08T22:00:00,0,0
2021-11-09T22:00:00,0,0
2021-11-10T22:00:00,0,1
2021-11-11T22:00:00,2,1
2021-11-14T22:00:00,2,-1
2021-11-15T22:00:00,0,-1
2021-11-16T22:00:00,0,0
2021-11-17T22:00:00,-2,1
2021-11-18T22:00:00,-2,1
2021-11-21T22:00:00,2,0
2021-11-22T22:00:00,2,0
2021-11-23T22:00:00,0,0
2021-11-24T22:00:00,-2,-1
2021-11-25T22:00:00,-2,1
2021-11-28T22:00:00,-2,0
2021-11-29T22:00:00,-2,1
2021-11-30T22:00:00,-2,0
2021-12-01T22:00:00,0,-1
2021-12-02T22:00:00,2,1
2021-12-05T22:00:00,2,0
2021-12-06T22:00:00,2,-1
2021-12-07T22:00:00,2,0
2021-12-08T22:00:00,-2,0
2021-12-09T22:00:00,-2,0
2021-12-12T22:00:00,-2,1
2021-12-13T22:00:00,-2,1
2021-12-14T22:00:00,-2,0
2021-12-15T22:00:00,-2,0
2021-12-16T22:00:00,-2,-1
2021-12-19T22:00:00,-2,1
2021-12-20T22:00:00,0,0
2021-12-21T22:00:00,2,-1
2021-12-22T22:00:00,0,-1
2021-12-23T22:00:00,0,0
2021-12-26T22:00:00,0,0
2021-12-27T22:00:00,0,0
2021-12-28T22:00:00,0,1
2021-12-29T22:00:00,0,1
2021-12-30T22:00:00,2,0
2022-01-02T22:00:00,2,0
2022-01-03T22:00:00,2,0
2022-01-04T22:00:00,2,1
2022-01-05T22:00:00,2,0
2022-01-06T22:00:00,2,0
2022-01-09T22:00:00,2,0
2022-01-10T22:00:00,2,-1
2022-01-11T22:00:00,0,0
2022-01-12T22:00:00,0,1
2022-01-13T22:00:00,0,1
2022-01-16T22:00:00,0,1
2022-01-17T22:00:00,2,-1
2022-01-18T22:00:00,0,0
2022-01-19T22:00:00,-2,-1
2022-01-20T22:00:00,-2,1
2022-01-23T22:00:00,0,1
2022-01-24T22:00:00,0,0
2022-01-25T22:00:00,2,-1
2022-01-26T22:00:00,2,-1
2022-01-27T22:00:00,0,0
2022-01-30T22:00:00,-2,-1
2022-01-31T22:00:00,-2,1
2022-02-01T22:00:00,-2,0
2022-02-02T22:00:00,0,-1
2022-02-03T22:00:00,0,0
2022-02-06T22:00:00,0,0
2022-02-07T22:00:00,2,1
2022-02-08T22:00:00,0,-1
2022-02-09T22:00:00,-2,0
2022-02-10T22:00:00,-2,1
2022-02-13T22:00:00,0,0
2022-02-14T22:00:00,-2,-1
2022-02-15T22:00:00,-2,-1
2022-02-16T22:00:00,-2,-1
2022-02-17T22:00:00,-2,0
2022-02-20T22:00:00,-2,1
2022-02-21T22:00:00,0,0
2022-02-22T22:00:00,2,0
2022-02-23T22:00:00,2,1
2022-02-24T22:00:00,0,-1
2022-02-27T22:00:00,0,0
2022-02-28T22:00:00,0,1
2022-03-01T22:00:00,0,-1
2022-03-02T22:00:00,-2,0
2022-03-03T22:00:00,0,1
2022-03-06T22:00:00,0,-1
2022-03-07T22:00:00,0,0
2022-03-08T22:00:00,2,0
2022-03-09T22:00:00,2,-1
2022-03-10T22:00:00,2,-1
2022-03-13T21:00:00,2,1
2022-03-14T21:00:00,2,1
2022-03-15T21:00:00,2,-1
2022-03-16T21:00:00,2,0
2022-03-17T21:00:00,0,1
2022-03-20T21:00:00,0,0
2022-03-21T21:00:00,0,0
2022-03-22T21:00:00,0,1
2022-03-23T21:00:00,0,1
2022-03-24T21:00:00,0,-1
2022-03-27T21:00:00,0,-1
2022-03-28T21:00:00,-2,-1
2022-03-29T21:00:00,-2,1
2022-03-30T21:00:00,-2,1
2022-03-31T21:00:00,2,1
2022-04-03T21:00:00,2,-1
2022-04-04T21:00:00,2,-1
2022-04-05T21:00:00,0,-1
2022-04-06T21:00:00,-2,0
2022-04-07T21:00:00,-2,-1
2022-04-10T21:00:00,-2,1
2022-04-11T21:00:00,2,1
2022-04-12T21:00:00,2,0
2022-04-13T21:00:00,2,0
2022-04-14T21:00:00,2,0
2022-04-17T21:00:00,2,1
2022-04-18T21:00:00,2,0
2022-04-19T21:00:00,2,-1
2022-04-20T21:00:00,0,-1
2022-04-21T21:00:00,-2,1
2022-04-24T21:00:00,-2,0
2022-04-25T21:00:00,2,1
2022-04-26T21:00:00,2,0
2022-04-27T21:00:00,2,0
2022-04-28T21:00:00,2,1
2022-05-01T21:00:00,2,0
2022-05-02T21:00:00,2,1
2022-05-03T21:00:00,2,-1
2022-05-04T21:00:00,0,0
2022-05-05T21:00:00,0,0
2022-05-08T21:00:00,0,0
2022-05-09T21:00:00,0,0
2022-05-10T21:00:00,2,0
2022-05-11T21:00:00,2,1
2022-05-12T21:00:00,2,0
2022-05-15T21:00:00,0,-1
2022-05-16T21:00:00,-2,-1
2022-05-17T21:00:00,-2,1
2022-05-18T21:00:00,-2,1
2022-05-19T21:00:00,-2,0
2022-05-22T21:00:00,-2,-1
2022-05-23T21:00:00,-2,1
2022-05-24T21:00:00,-2,-1
