date,return,volatility
2021-04-18T21:00:00,0.0,0.0
2021-04-19T21:00:00,0.13,0.43
2021-04-20T21:00:00,-0.59,1.03
2021-04-21T21:00:00,-0.55,0.84
2021-04-22T21:00:00,0.27,0.57
2021-04-25T21:00:00,0.08,0.5
2021-04-26T21:00:00,-0.41,0.5
2021-04-27T21:00:00,-0.39,0.7
2021-04-28T21:00:00,-0.61,0.77
2021-04-29T21:00:00,-0.64,1.04
2021-05-02T21:00:00,0.39,0.63
2021-05-03T21:00:00,-0.43,0.73
2021-05-04T21:00:00,0.19,0.36
2021-05-05T21:00:00,-0.53,0.62
2021-05-06T21:00:00,0.6,0.96
2021-05-09T21:00:00,-0.53,0.9
2021-05-10T21:00:00,0.13,0.37
2021-05-11T21:00:00,-1.24,1.46
2021-05-12T21:00:00,0.28,0.79
2021-05-13T21:00:00,0.16,0.51
2021-05-16T21:00:00,-0.43,0.76
2021-05-17T21:00:00,0.36,0.5
2021-05-18T21:00:00,-0.3,0.81
2021-05-19T21:00:00,0.06,0.39
2021-05-20T21:00:00,-0.46,0.7
2021-05-23T21:00:00,0.09,0.58
2021-05-24T21:00:00,0.15,0.33
2021-05-25T21:00:00,0.38,0.67
2021-05-26T21:00:00,-0.44,0.67
2021-05-27T21:00:00,-0.3,0.68
2021-05-30T21:00:00,0.22,0.72
2021-05-31T21:00:00,0.32,0.68
2021-06-01T21:00:00,-0.31,0.6
2021-06-02T21:00:00,-0.58,0.8
2021-06-03T21:00:00,0.94,1.06
2021-06-06T21:00:00,0.19,0.69
2021-06-07T21:00:00,0.0,0.33
2021-06-08T21:00:00,-0.08,0.41
2021-06-09T21:00:00,0.14,0.32
2021-06-10T21:00:00,-0.16,0.56
2021-06-13T21:00:00,-0.05,0.37
2021-06-14T21:00:00,0.04,0.41
2021-06-15T21:00:00,-0.27,0.73
2021-06-16T21:00:00,-0.13,0.74
2021-06-17T21:00:00,-0.1,0.58
2021-06-20T21:00:00,-0.14,0.58
2021-06-21T21:00:00,-0.11,0.51
2021-06-22T21:00:00,0.29,0.47
2021-06-23T21:00:00,0.24,0.47
2021-06-24T21:00:00,-0.11,0.36
2021-06-27T21:00:00,0.19,0.32
2021-06-28T21:00:00,-0.22,0.54
2021-06-29T21:00:00,-0.18,0.57
2021-06-30T21:00:00,-0.05,0.44
2021-07-01T21:00:00,-0.15,0.49
2021-07-04T21:00:00,0.25,0.49
2021-07-05T21:00:00,0.49,0.96
2021-07-06T21:00:00,-0.05,0.38
2021-07-07T21:00:00,-0.3,0.62
2021-07-08T21:00:00,-0.01,0.63
2021-07-11T21:00:00,-0.08,0.32
2021-07-12T21:00:00,0.1,0.52
2021-07-13T21:00:00,0.42,0.69
2021-07-14T21:00:00,-0.13,0.55
2021-07-15T21:00:00,-0.24,0.41
2021-07-18T21:00:00,0.32,1.12
2021-07-19T21:00:00,-0.69,0.83
2021-07-20T21:00:00,-0.64,0.97
2021-07-21T21:00:00,0.36,0.61
2021-07-22T21:00:00,-0.27,0.53
2021-07-25T21:00:00,0.06,0.42
2021-07-26T21:00:00,0.07,0.43
2021-07-27T21:00:00,-0.49,0.75
2021-07-28T21:00:00,-0.32,0.45
2021-07-29T21:00:00,-0.48,0.75
2021-08-01T21:00:00,0.58,0.68
2021-08-02T21:00:00,0.7,0.84
2021-08-03T21:00:00,-0.17,0.72
2021-08-04T21:00:00,0.06,0.37
2021-08-05T21:00:00,-0.19,0.31
2021-08-08T21:00:00,-0.18,0.39
2021-08-09T21:00:00,-0.25,0.44
2021-08-10T21:00:00,0.22,0.54
2021-08-11T21:00:00,-0.38,0.54
2021-08-12T21:00:00,0.39,0.54
2021-08-15T21:00:00,0.0,0.39
2021-08-16T21:00:00,-0.66,0.84
2021-08-17T21:00:00,-0.01,0.39
2021-08-18T21:00:00,0.15,0.63
2021-08-19T21:00:00,-0.27,0.77
2021-08-22T21:00:00,-0.16,0.52
2021-08-23T21:00:00,0.22,0.55
2021-08-24T21:00:00,0.2,0.53
2021-08-25T21:00:00,0.21,0.43
2021-08-26T21:00:00,0.55,0.64
2021-08-29T21:00:00,-0.31,0.54
2021-08-30T21:00:00,0.36,0.58
2021-08-31T21:00:00,0.75,0.89
2021-09-01T21:00:00,-0.14,0.54
2021-09-02T21:00:00,0.58,0.7
2021-09-05T21:00:00,-0.25,0.38
2021-09-06T21:00:00,0.16,0.58
2021-09-07T21:00:00,0.07,0.55
2021-09-08T21:00:00,-0.2,0.65
2021-09-09T21:00:00,0.04,0.44
2021-09-12T21:00:00,-0.11,0.43
2021-09-13T21:00:00,-0.32,0.55
2021-09-14T21:00:00,-0.29,0.46
2021-09-15T21:00:00,-0.15,0.48
2021-09-16T21:00:00,0.39,0.69
